id_municipio,municipio_nome,unidade,nome_rm,nome_ugrhi
3521507,Irapuã,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Batalha
3521606,Irapuru,URAE 2 - Centro,_Fora de RMs/AUs,Peixe
3521705,Itaberá,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3521804,Itaí,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3521903,Itajobi,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3522000,Itaju,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3522109,Itanhaém,URAE 1 - Sudeste,Região Metropolitana da Baixada Santista,Baixada Santista
3522158,Itaóca,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3522208,Itapecerica da Serra,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3522307,Itapetininga,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Alto Paranapanema
3522406,Itapeva,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3522505,Itapevi,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3522604,Itapira,URAE 4 - Norte,_Fora de RMs/AUs,Mogi-Guaçu
3522653,Itapirapuã Paulista,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3522703,Itápolis,URAE 4 - Norte,_Fora de RMs/AUs,Tietê / Batalha
3522802,Itaporanga,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3522901,Itapuí,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3523008,Itapura,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3523107,Itaquaquecetuba,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3523206,Itararé,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3523305,Itariri,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3523404,Itatiba,URAE 1 - Sudeste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
3523503,Itatinga,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3523602,Itirapina,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3523701,Itirapuã,URAE 1 - Sudeste,Aglomeração Urbana de Franca,Sapucaí / Grande
3523800,Itobi,URAE 1 - Sudeste,_Fora de RMs/AUs,Pardo
3523909,Itu,URAE 2 - Centro,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3524006,Itupeva,URAE 1 - Sudeste,Aglomeração Urbana de Jundiaí,Piracicaba / Capivari / Jundiaí
